"attr_time","attr_x","attr_y","attr_z"
"1518483754134","-0.117041","0.00695991","-0.0547075"
"1518483754154","-0.0419165","0.00365353","0.0826521"
"1518483754175","0.0105214","0.00483799","0.00674391"
"1518483754195","0.00841713","-0.00762176","-0.0367441"
"1518483754214","0.0565346","0.0226336","-0.100265"
"1518483754234","0.00883472","0.0430079","-0.0706353"
"1518483754255","-0.0638028","0.0401526","-0.0986471"
"1518483754274","-0.0127338","0.0493612","-0.0080471"
"1518483754293","0.0836685","0.0471506","-0.039"
"1518483754315","-0.0211746","-0.0101652","0.0741482"
"1518483754334","0.000299096","0.00527573","0.0746417"
"1518483754355","-0.0399846","-0.0340881","0.128668"
"1518483754375","0.0599526","-0.0157776","0.0435567"
"1518483754394","0.0268925","-0.0107069","-0.0149555"
"1518483754414","-0.0397795","0.0297432","-0.12689"
"1518483754435","-0.0624703","0.031456","-0.0919347"
"1518483754454","-0.0652996","0.0309114","-0.0294929"
"1518483754473","0.0262926","-0.0174103","-0.0446639"
"1518483754495","0.105313","-0.0464907","0.0217314"
"1518483754514","0.0287029","-0.0161228","0.0212159"
"1518483754535","-0.0651469","0.0196638","0.0150571"
"1518483754554","-0.0138092","0.0406313","0.027369"
"1518483754574","0.0330073","-0.00580406","0.016149"
"1518483754594","0.00150537","-0.0142193","0.00525761"
"1518483754614","0.00120425","0.0173559","0.0520916"
"1518483754633","-0.00669837","-0.0186777","0.0282655"
"1518483754654","0.061681","0.0406055","-0.0310197"
"1518483754674","-0.0330182","-0.0192318","-0.0382237"
"1518483754694","-0.0340763","-0.00580883","-0.145504"
"1518483754715","0.032117","-0.0352936","-0.0723491"
"1518483754734","-0.0126148","-0.0129108","-0.0483022"
"1518483754753","0.0128932","-0.021822","-0.0558805"
"1518483754773","-0.0107551","0.00935841","-0.0676894"
"1518483754794","-0.0430815","0.00365543","-0.00818157"
"1518483754814","0.0383207","-0.0238914","0.261613"
"1518483754837","0.0402337","-0.0171976","0.43531"
"1518483754854","0.0149482","-0.0214205","0.313771"
"1518483754874","-0.0493349","0.0307493","0.109275"
"1518483754895","0.0122484","-0.0481863","-0.150092"
"1518483754915","-0.0495794","0.0361528","-0.227337"
"1518483754934","0.00822198","-0.0476952","-0.0784369"
"1518483754953","-0.0240692","-0.0400705","0.0866532"
"1518483754975","0.0899236","0.0254059","-0.204582"
"1518483754993","0.0566155","0.006917","-0.328392"
"1518483755013","-0.0543095","0.0361805","-0.136296"
"1518483755035","0.0216767","-0.00170231","0.214669"
"1518483755054","-0.0860912","0.0292845","0.319223"
"1518483755075","0.0364751","-0.0359507","0.140453"
"1518483755095","-0.00912833","-0.0191832","0.185149"
"1518483755113","0.0118515","-0.0191774","0.113641"
"1518483755133","-0.0518122","-0.0325804","-0.00677347"
"1518483755154","0.0370825","-0.00691032","-0.208453"
"1518483755174","0.0277506","-0.00552845","-0.224225"
"1518483755193","0.0241159","0.0223932","-0.162141"
"1518483755214","-0.0515778","0.0198298","-0.0262804"
"1518483755232","-0.0393468","0.0235262","0.00387621"
"1518483755254","-0.0180695","0.0149899","0.110364"
"1518483755274","0.0506687","-0.053133","0.1017"
"1518483755294","0.0232961","-0.0386763","0.129245"
"1518483755313","-0.0369103","-0.0251942","0.111058"
"1518483755334","-0.0180357","0.0526304","0.0696921"
"1518483755353","0.0162182","0.0229502","-0.0476794"
"1518483755373","0.0053128","-0.000794411","-0.124337"
"1518483755394","0.00616574","-0.0197897","-0.105216"
"1518483755413","0.00110173","0.00715351","-0.0784264"
"1518483755435","0.0142893","0.00380802","-0.0340099"
"1518483755454","-0.00197649","0.00113106","-0.00230742"
"1518483755473","-0.0341433","0.000905037","0.124572"
"1518483755493","0.0148246","-0.0280066","0.113065"
"1518483755514","0.0252676","-0.0185747","0.0693822"
"1518483755533","0.0278757","0.0157871","0.021028"
"1518483755553","-0.0255849","-0.0141859","-0.000416279"
"1518483755574","0.0197558","0.00205898","-0.0616264"
"1518483755594","-0.00909579","0.0188856","-0.0550475"
"1518483755615","0.0023005","0.020855","-0.137893"
"1518483755634","0.013333","0.00710678","-0.0566831"
"1518483755653","-0.00848776","-0.0153837","-0.0146995"
"1518483755673","-0.0470141","-0.0237999","-0.0213366"
"1518483755695","0.0332592","-0.0152092","0.0825324"
"1518483755713","0.0131994","-0.00450516","0.129235"
"1518483755732","0.00481331","0.0366201","0.0267711"
"1518483755753","0.00959688","0.0120573","0.0309939"
"1518483755773","0.01917","0.03263","0.028626"
"1518483755794","0.0134206","-0.0275278","-0.086278"
"1518483755815","-0.0390645","-0.0411768","-0.111162"
"1518483755833","-0.0523212","-0.0137873","0.0413194"
"1518483755852","-0.0246181","-0.020607","0.180543"
"1518483755873","0.00137508","0.152071","-0.253973"
"1518483755894","-0.0123079","0.0469561","-0.115069"
"1518483755914","-0.0807169","-0.0562906","0.294859"
"1518483755933","0.0158741","0.0718088","0.492554"
"1518483755952","0.102724","-0.0230017","0.215909"
"1518483755974","0.0687713","0.102271","-0.00540686"
"1518483755993","-0.0579927","-0.0139542","-0.136489"
"1518483756011","-0.000424027","-0.0513868","-0.480783"
"1518483756032","-0.00800097","-0.11198","-0.42485"
"1518483756055","0.0299922","-0.0148821","-0.22304"
"1518483756072","0.0335709","-0.0119057","-0.101815"
"1518483756091","-0.0152825","0.00579929","0.0602889"
"1518483756116","0.00309742","0.00463963","0.147833"
"1518483756135","0.00439334","0.00945759","0.200629"
"1518483756153","-0.0788484","-0.00584126","0.233289"
"1518483756172","0.00970733","-0.0123339","0.0621295"
"1518483756191","-0.0439504","-0.0251904","-0.0479827"
"1518483756215","0.062526","-0.023983","-0.0575404"
"1518483756242","0.00979698","0.0267839","-0.118818"
"1518483756260","0.0289071","0.00227261","-0.0184374"
"1518483756272","0.0346182","-0.00201225","-0.0779591"
"1518483756294","0.00470948","0.00605106","-0.115999"
"1518483756316","-0.0115558","0.0239954","-0.0966296"
"1518483756336","-0.0149909","0.00387383","0.0510292"
"1518483756353","-0.0560474","-0.0122252","0.0867934"
"1518483756375","0.0241171","0.0132055","0.0426192"
"1518483756391","-0.0132685","0.00290298","0.0283489"
"1518483756414","-0.00295305","-0.00533962","0.0992961"
"1518483756432","0.0110455","0.0148821","0.0162282"
"1518483756456","0.0184135","0.0233974","0.0359674"
"1518483756473","0.0223925","0.00339508","-0.0229421"
"1518483756492","-0.00890195","0.0410242","-0.0547466"
"1518483756515","0.00820184","-0.0150661","-0.0476279"
"1518483756534","-0.0489857","0.00710201","-0.0840726"
"1518483756553","-0.0372732","0.0286665","-0.0595965"
"1518483756572","0.0180669","0.0382557","-0.0419312"
"1518483756593","0.0642545","-0.00961876","-0.00289774"
"1518483756615","0.189314","-0.019187","0.162408"
"1518483756632","0.0250333","-0.0632353","0.198882"
"1518483756653","-0.119799","-0.0505886","-0.0190287"
"1518483756671","-0.118824","-0.0270634","-0.00947666"
"1518483756693","-0.133368","0.0109119","-0.00183535"
"1518483756714","-0.0856246","-0.0238323","0.0789795"
"1518483756733","0.0406793","0.0843678","0.032537"
"1518483756752","0.0651057","0.0694094","0.119885"
"1518483756772","-0.10498","0.00764179","-0.120534"
"1518483756791","0.0462646","-0.0302792","-0.222845"
"1518483756813","-0.215824","-0.0567856","-0.226161"
"1518483756838","-0.302907","-0.00903606","-0.079412"
"1518483756855","-0.154217","-0.0129757","0.0188336"
"1518483756872","-0.0486721","-0.0103807","0.0572066"
"1518483756892","0.0644951","-0.0485287","0.105143"
"1518483756911","0.0439343","-0.0215845","-0.0461335"
"1518483756931","-0.0146533","0.0382795","-0.0483994"
"1518483756952","0.0323319","0.093833","-0.0176501"
"1518483756973","-0.0239353","0.011858","0.106551"
"1518483756993","-0.0153174","0.0248098","0.012455"
"1518483757014","0.00690019","-0.0184612","-0.0302596"
"1518483757033","-0.0366191","-0.0262613","0.0313396"
"1518483757054","-0.059942","0.0498619","-0.0706992"
"1518483757074","-0.0153915","-0.0501347","0.00473404"
"1518483757093","-0.0467907","0.015439","0.0746579"
"1518483757113","0.108139","-0.0872507","0.115273"
"1518483757134","-0.00925958","0.0240555","-0.00546741"
"1518483757153","-0.0878553","-0.0975971","-0.0560904"
"1518483757173","-0.0702843","-0.049346","0.0700526"
"1518483757194","-0.136675","-0.108432","0.0847735"
"1518483757213","-0.132325","-0.054183","-0.0298676"
"1518483757234","-0.0234971","0.0083704","-0.0622025"
"1518483757254","0.011849","0.0220194","-0.0191154"
"1518483757273","0.101419","0.0904017","-0.0727549"
"1518483757293","0.0524042","0.0914755","-0.119497"
"1518483757314","0.00936127","0.038703","0.0154963"
"1518483757333","-0.000172615","0.0405397","0.121576"
"1518483757353","0.0534937","-0.0499315","0.0340519"
"1518483757374","-0.00509047","-0.0265369","0.0310726"
"1518483757393","-0.00981855","-0.0499611","-0.0268588"
"1518483757414","0.0361998","-0.00740719","-0.188128"
"1518483757434","0.0347061","-0.099781","-0.449308"
"1518483757453","0.0124416","-0.158358","-0.179397"
"1518483757473","0.0348538","0.126149","0.291283"
"1518483757495","-0.0353258","-0.0503979","0.813398"
"1518483757512","-0.0646535","0.145477","0.767559"
"1518483757536","0.101511","-0.0904837","0.292257"
"1518483757555","0.014169","0.105747","0.0786562"
"1518483757579","0.00558889","-0.00159645","-0.337398"
"1518483757599","-0.0395834","0.0063839","-0.618525"
"1518483757616","0.0123879","-0.0255394","-0.609745"
"1518483757633","-0.0724528","-0.0261784","-0.453319"
"1518483757653","-0.0445542","-0.0611658","-0.469919"
"1518483757673","-0.106514","-0.0182858","-0.349119"
"1518483757698","0.0239677","0.0313416","-0.127977"
"1518483757719","0.0919602","-0.0132351","0.426274"
"1518483757735","-0.0164565","0.04879","0.802636"
"1518483757752","0.00981975","-0.0165157","0.80875"
"1518483757773","-0.107069","-0.066844","0.662323"
"1518483757799","-0.0722475","-0.0477295","0.411102"
"1518483757816","0.0226495","-0.0994768","0.0971165"
"1518483757840","-0.0355121","-0.0412741","-0.14258"
"1518483757857","-0.126096","-0.034934","-0.242397"
"1518483757871","-0.133439","-0.0298624","-0.305012"
"1518483757898","-0.0799354","0.00101089","-0.221025"
"1518483757916","-0.0562867","-0.0451612","-0.107864"
"1518483757932","-0.000974774","-0.034214","-0.0269136"
"1518483757953","0.0624291","-0.0350323","-0.0100384"
"1518483757972","0.0058887","-0.0184488","-0.0444236"
"1518483757998","-0.0106124","-0.0243359","-0.0106382"
"1518483758016","-0.0372213","0.0169239","0.0719371"
"1518483758036","-0.0374386","0.0173702","0.210783"
"1518483758052","-0.0356971","0.0311356","0.20502"
"1518483758073","-0.0151498","-0.0248928","0.0280213"
"1518483758098","0.0223578","0.0241404","-0.0695233"
"1518483758115","-0.00892973","0.00781918","0.0133362"
"1518483758134","-0.0531138","-0.0856838","0.161987"
"1518483758153","0.0111407","-0.0570545","-0.063868"
"1518483758173","0.0587136","-0.0360661","-0.415024"
"1518483758194","0.039309","-0.0365143","-0.15197"
"1518483758213","-0.0432541","0.0320816","0.0642195"
"1518483758234","0.0171131","0.0199184","0.0226445"
"1518483758252","0.0366755","0.0274277","0.15411"
"1518483758275","0.073395","0.029604","0.259284"
"1518483758296","0.0146613","-0.0127096","0.324267"
"1518483758316","-0.00550961","-0.015914","0.111927"
"1518483758335","0.00133848","0.000677109","0.0225015"
"1518483758352","-0.0199989","-0.0415974","-0.0586157"
"1518483758372","0.0069859","-0.00454712","-0.205873"
"1518483758393","0.0170814","0.0308399","-0.212584"
"1518483758414","-0.0093199","0.00743294","-0.183475"
"1518483758432","-0.0246946","0.0289316","-0.0184469"
"1518483758453","0.0453686","-0.0649643","0.159546"
"1518483758473","0.0592799","0.0284758","0.131468"
"1518483758494","-0.0349392","-0.046175","0.183707"
"1518483758514","-0.0528518","0.0128613","0.156543"
"1518483758534","-0.0403661","0.0505133","-0.0222535"
"1518483758554","0.0194235","0.00784874","-0.105912"
"1518483758574","0.0691706","-0.00521374","-0.159431"
"1518483758594","-0.0557579","-0.0443945","-0.162023"
"1518483758613","-0.0120442","-0.00486851","-0.139195"
"1518483758635","-0.0766749","-0.00964069","-0.101779"
"1518483758654","0.00953054","-0.0383596","-0.00289106"
"1518483758675","-0.0747386","0.0114517","-0.00422859"
"1518483758695","-0.00807464","0.0302315","0.293508"
